New York City	NY
Los Angeles	CA
Chicago	IL
Houston	TX
Philadelphia	PA
Phoenix	AZ
San Antonio	TX
San Diego	CA
Dallas	TX
San Jose	CA
Austin	TX
Indianapolis	IN
Jacksonville	FL
San Francisco	CA
Columbus	OH
Charlotte	NC
Fort Worth	TX
Detroit	MI
El Paso	TX
Memphis	TN
Seattle	WA
Denver	CO
Washington	DC
Boston	MA
Nashville	TN
Baltimore	MD
Oklahoma City	OK
Louisville	KY
Portland	OR
Las Vegas	NV
Milwaukee	WI
Albuquerque	NM
Tucson	AZ
Fresno	CA
Sacramento	CA
Long Beach	CA
Kansas City	MO
Mesa	AZ
Virginia Beach	VA
Atlanta	GA
Colorado Springs	CO
Omaha	NB
Raleigh	NC
Miami	FL
Oakland	CA
Minneapolis	MN
Tulsa	OK
Cleveland	OH
Wichita	KS
Arlington	TX
